date,player,market,side,line,tier,result,actual,source,notes
2026-05-30,Juan Soto,hitter_fantasy_score,MORE,5.5,standard,PENDING,,,Soto PickFinder example; line-specific hitter split signal
2026-05-30,James Wood,hitter_fantasy_score,MORE,5.5,standard,,,,manual_pick
2026-05-30,Mitch Keller,pitching_outs,LESS,17.5,standard,,,,manual_pick
2026-05-30,Juan Soto,bases,MORE,0.5,goblin,,,,manual_pick
2026-05-30,Junior Caminero,bases,MORE,0.5,goblin,,,,manual_pick
2026-05-30,Aaron Judge,bases,MORE,0.5,goblin,,,,manual_pick
2026-05-30,Jonathan Aranda,hitter_fantasy_score,MORE,4.5,standard,,,,manual_pick
2026-05-30,Sal Stewart,hitter_fantasy_score,MORE,4.5,standard,,,,manual_pick
2026-05-30,Josh Bell,hitter_fantasy_score,MORE,5,standard,,,,manual_pick
2026-05-30,Xavier Edwards,hitter_fantasy_score,MORE,6.5,standard,,,,manual_pick
2026-05-30,Carson Benge,singles,MORE,0.5,standard,MISS,0,past_prizepicks_slip,screenshot_batch
2026-05-30,Kyle Stowers,hitter_fantasy_score,MORE,4.5,standard,MISS,0,past_prizepicks_slip,screenshot_batch
2026-05-30,Bobby Witt Jr.,hitter_fantasy_score,MORE,6.5,standard,MISS,0,past_prizepicks_slip,screenshot_batch
2026-05-30,Grayson Rodriguez,strikeouts,MORE,5.5,standard,MISS,5,past_prizepicks_slip,screenshot_batch
2026-05-30,Jeffrey Springs,1st_inning_pitches_thrown,MORE,15.5,standard,HIT,16,past_prizepicks_slip,screenshot_batch
2026-05-30,Davis Martin,first_3_innings_strikeouts,MORE,2.5,standard,HIT,5,past_prizepicks_slip,screenshot_batch
2026-05-30,Jameson Taillon,1st_inning_pitches_thrown,MORE,14.5,standard,HIT,21,past_prizepicks_slip,screenshot_batch
2026-05-30,Yordan Alvarez,hrr,MORE,1.5,standard,MISS,1,past_prizepicks_slip,screenshot_batch
2026-05-30,Jose Tena,singles,LESS,0.5,standard,REFUND,0,past_prizepicks_slip,did_not_play
2026-05-30,Xavier Edwards,hrr,MORE,1.5,standard,MISS,0,past_prizepicks_slip,screenshot_batch
2026-05-30,Kevin McGonigle,hrr,MORE,1.5,standard,HIT,3,past_prizepicks_slip,screenshot_batch
2026-05-30,Nick Martinez,earned_runs_allowed,LESS,2.5,standard,HIT,1,past_prizepicks_slip,screenshot_batch
2026-05-30,Connor Prielipp,hits_allowed,LESS,4.5,standard,MISS,7,past_prizepicks_slip,screenshot_batch
2026-05-30,Spencer Horwitz,hitter_fantasy_score,MORE,5,standard,MISS,2,past_prizepicks_slip,screenshot_batch
2026-05-30,Nick Kurtz,hitter_fantasy_score,MORE,5.5,standard,HIT,13,past_prizepicks_slip,screenshot_batch
2026-05-30,CJ Abrams,hitter_fantasy_score,MORE,5.5,standard,HIT,26,past_prizepicks_slip,screenshot_batch
2026-05-30,Samuel Basallo,hitter_fantasy_score,MORE,5,standard,MISS,0,past_prizepicks_slip,screenshot_batch
2026-05-30,Lawrence Butler,hits,MORE,0.5,standard,MISS,0,past_prizepicks_slip,screenshot_batch
2026-05-30,Zach Neto,hrr,MORE,1.5,standard,MISS,0,past_prizepicks_slip,screenshot_batch
2026-05-30,Nolan Arenado,hitter_fantasy_score,MORE,5.5,standard,MISS,2,past_prizepicks_slip,screenshot_batch
